NAME,COUNTY,ELEV_IN_M,ELEV_IN_FT
Jacobus,York,201,659
Jefferson,York,199,653
Lewisberry,York,133,436
Loganville,York,239,784
Manchester,York,153,502
Mount Wolf,York,130,427
New Freedom,York,250,820
New Salem,York,185,607
North York,York,123,404
Railroad,York,227,745
Red Lion,York,280,919
Seven Valleys,York,149,489
Shrewsbury,York,300,984
Spring Grove,York,145,476
Stewartstown,York,263,863
Wellsville,York,159,522
West York,York,118,387
Windsor,York,208,682
Winterstown,York,261,856
Wrightsville,York,88,289
Yoe,York,217,712
York,York,118,387
Yorkana,York,192,630
York Haven,York,117,384
Beverly,Burlington,9,30
Bordentown,Burlington,17,56
Burlington,Burlington,2,7
Riverton,Burlington,4,13
Palmyra,Burlington,2,7
Pemberton,Burlington,18,59
Wrightstown,Burlington,41,135
Beach Haven,Ocean,1,3
Beachwood,Ocean,8,26
Pine Beach,Ocean,6,20
Point Pleasant,Ocean,5,16
Point Pleasant Beach,Ocean,3,10
Seaside Heights,Ocean,2,7
Seaside Park,Ocean,2,7
Ship Bottom,Ocean,1,3
South Toms River,Ocean,8,26
Lakehurst,Ocean,20,66
Lavallette,Ocean,1,3
Ocean Gate,Ocean,1,3
Surf City,Ocean,1,3
Tuckerton,Ocean,4,13
Zanesville,Muskingum,206,676
Valley-Hi,Fulton,411,1348
McConnellsburg,Fulton,269,883
Belle Vernon,Fayette,247,810
Faith,Jefferson,76,249
Jefferson,Jefferson,105,344
Tamo,Jefferson,58,190
Umpire,Howard,259,850
Langley,Pike,243,797
Newhope,Pike,231,758
Harcuvar,La Paz,587,1926
Provo,Sevier,121,397
Cornerville,Lincoln,74,243
Palmyra,Lincoln,81,266
Holly Springs,Dallas,75,246
Ouachita,Dallas,47,154
Pickens,Desha,49,161
Snow Lake,Desha,48,157
Beardsley,Maricopa,385,1263
Cashion,Maricopa,302,991
Chandler Heights,Maricopa,433,1421
Higley,Maricopa,396,1299
De Ann,Hempstead,111,364
Tokio,Hempstead,143,469
Sheyenne,Eddy,450,1476
Laneburg,Nevada,91,299
Cathay,Wells,482,1581
Collins,Drew,50,164
Sykeston,Wells,498,1634
Ingalls,Bradley,49,161
Sharon,Steele,462,1516
Cactus Flat,Graham,954,3130
